Serving HTTP on 0.0.0.0 port 8884 (http://0.0.0.0:8884/) ...
127.0.0.1 - - [26/Jul/2026 03:09:52] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:09:52] "GET /drills.js HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:13:50] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:13:50] "GET /drills.js?v=292 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:13:50] "GET /nav.css?v=210 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:13:50] "GET /themes.js?v=310 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:13:50] "GET /nav.js?v=302 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:14:03] "GET /favicon.svg?v=174 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:14:03] "GET /favicon.ico?v=174 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:14:45] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:14:45] "GET /nav.css?v=210 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:14:45] "GET /themes.js?v=310 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:14:45] "GET /nav.js?v=302 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:14:45] "GET /drills.js?v=292 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:14:58] "GET /favicon.svg?v=174 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:14:58] "GET /favicon.ico?v=174 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:28:04] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:28:04] "GET /drills.js?v=292 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:28:04] "GET /themes.js?v=310 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:28:04] "GET /nav.js?v=302 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:28:04] "GET /nav.css?v=210 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:28:18] "GET /favicon.svg?v=174 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:28:18] "GET /favicon.ico?v=174 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:29:04] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:29:04] "GET /nav.js?v=302 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:29:04] "GET /themes.js?v=310 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:29:04] "GET /nav.css?v=210 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:29:04] "GET /drills.js?v=292 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:29:17] "GET /favicon.svg?v=174 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:29:17] "GET /favicon.ico?v=174 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:30:22] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:30:22] "GET /nav.css?v=210 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:30:22] "GET /drills.js?v=292 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:30:22] "GET /nav.js?v=302 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:30:22] "GET /themes.js?v=310 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:30:35] "GET /favicon.svg?v=174 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:30:35] "GET /favicon.ico?v=174 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:31:50] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:31:50] "GET /nav.css?v=210 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:31:50] "GET /drills.js?v=292 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:31:50] "GET /themes.js?v=310 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:31:50] "GET /nav.js?v=302 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:32:03] "GET /favicon.svg?v=174 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:32:03] "GET /favicon.ico?v=174 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:35:07] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:35:07] "GET /drills.js?v=292 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:35:07] "GET /nav.css?v=210 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:35:07] "GET /themes.js?v=310 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:35:07] "GET /nav.js?v=302 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:35:20] "GET /favicon.svg?v=174 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:35:20] "GET /favicon.ico?v=174 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:36:04] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:36:04] "GET /nav.css?v=210 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:36:04] "GET /drills.js?v=292 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:36:04] "GET /nav.js?v=302 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:36:04] "GET /themes.js?v=310 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:36:17] "GET /favicon.svg?v=174 HTTP/1.1" 200 -
127.0.0.1 - - [26/Jul/2026 03:36:17] "GET /favicon.ico?v=174 HTTP/1.1" 200 -
